Account_Number,Customer_Name,Invoice_Group,Total
QS148,3 SHIRES GARDEN CENTRE (BD),10cm Bean/Pea Range - Trays of 10,0
QS148,3 SHIRES GARDEN CENTRE (BD),10cm Grafted Vegetable Trays of 10,1953
QS148,3 SHIRES GARDEN CENTRE (BD),10cm Pot Chilli Tray of 10,0
QS148,3 SHIRES GARDEN CENTRE (BD),10cm Pot Heritage Tomato,0
QS148,3 SHIRES GARDEN CENTRE (BD),10cm Sweet Potato Tray of 10,279.6
QS148,3 SHIRES GARDEN CENTRE (BD),1L Pot Herb Tray of 8,112
QS148,3 SHIRES GARDEN CENTRE (BD),1L Pot Veg Tray of 8,0
QS148,3 SHIRES GARDEN CENTRE (BD),8.5cm Pot Herb Tray of 18,239.4
QS148,3 SHIRES GARDEN CENTRE (BD),8.5cm Pot Strawberry Tray of 18,0
QS148,3 SHIRES GARDEN CENTRE (BD),8.5cm Pot Sweet Pea Tray of 18,0
QS148,3 SHIRES GARDEN CENTRE (BD),8.5cm Pot vegetables Tray of 18,0
QS148,3 SHIRES GARDEN CENTRE (BD),8.5cm Premium Pot Veg Tray of 18,0
QS148,3 SHIRES GARDEN CENTRE (BD),8.5cm Wildflower Tray of 18,0
QS148,3 SHIRES GARDEN CENTRE (BD),Bare root Wallflowers,0
QS148,3 SHIRES GARDEN CENTRE (BD),Point of Sale,0
QS148,3 SHIRES GARDEN CENTRE (BD),Q Sleeve Wallflowers,0
QS148,3 SHIRES GARDEN CENTRE (BD),Strawberry Carry Packs Tray of 6,751.68
QS148,3 SHIRES GARDEN CENTRE (BD),Strip Vegetables Tray of 6,4898.34
QS148,3 SHIRES GARDEN CENTRE (BD),Sweet Pea Carry Packs Tray of 6,0
QN45,A C  NURDEN (MALMESBURY),10cm Bean/Pea Range - Trays of 10,0
QN45,A C  NURDEN (MALMESBURY),10cm Grafted Vegetable Trays of 10,0
QN45,A C  NURDEN (MALMESBURY),10cm Pot Chilli Tray of 10,0
QN45,A C  NURDEN (MALMESBURY),10cm Pot Heritage Tomato,0
QN45,A C  NURDEN (MALMESBURY),10cm Sweet Potato Tray of 10,0
QN45,A C  NURDEN (MALMESBURY),1L Pot Herb Tray of 8,308.8
QN45,A C  NURDEN (MALMESBURY),1L Pot Veg Tray of 8,0
QN45,A C  NURDEN (MALMESBURY),8.5cm Pot Herb Tray of 18,636.48
QN45,A C  NURDEN (MALMESBURY),8.5cm Pot Strawberry Tray of 18,99
QN45,A C  NURDEN (MALMESBURY),8.5cm Pot Sweet Pea Tray of 18,135.36
QN45,A C  NURDEN (MALMESBURY),8.5cm Pot vegetables Tray of 18,1109.16
QN45,A C  NURDEN (MALMESBURY),8.5cm Premium Pot Veg Tray of 18,302.4
QN45,A C  NURDEN (MALMESBURY),8.5cm Wildflower Tray of 18,0
QN45,A C  NURDEN (MALMESBURY),Bare root Wallflowers,0
QN45,A C  NURDEN (MALMESBURY),Point of Sale,0
QN45,A C  NURDEN (MALMESBURY),Q Sleeve Wallflowers,0
QN45,A C  NURDEN (MALMESBURY),Strawberry Carry Packs Tray of 6,0
QN45,A C  NURDEN (MALMESBURY),Strip Vegetables Tray of 6,2213.4
QN45,A C  NURDEN (MALMESBURY),Sweet Pea Carry Packs Tray of 6,162.96
QM21,A G MEALE & SONS LTD,10cm Bean/Pea Range - Trays of 10,0
QM21,A G MEALE & SONS LTD,10cm Grafted Vegetable Trays of 10,0
QM21,A G MEALE & SONS LTD,10cm Pot Chilli Tray of 10,0
QM21,A G MEALE & SONS LTD,10cm Pot Heritage Tomato,0
QM21,A G MEALE & SONS LTD,10cm Sweet Potato Tray of 10,0
QM21,A G MEALE & SONS LTD,1L Pot Herb Tray of 8,0
QM21,A G MEALE & SONS LTD,1L Pot Veg Tray of 8,0
