CENTRE,8.5 Herb 8,1L Herb 8,Total Trays,,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,Total Trays,Coll,,,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,Total Trays,Coll,,,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,Total Trays,Coll,,,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Total Trays,Coll,,,Grafted 14,Grafted 16,Grafted 18,Total Trays,Coll,,,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Total Trays,Coll,,,Dyna Chilli 15,Dyna Chilli 17,Total Trays,Coll,,,P/Bean 15,P/Bean 17,P/Bean 19,Total Trays,Coll,,,Sweet Potato 17,Total Trays,Coll,,,Heritage Tom 18,Heritage Tom 20,Total Trays,Coll,,,1L Veg 20,1L Veg 22,Total Trays,Coll,,,Autumn Strip,Total Pots,Coll,,Taken,Wildflower Week 12,Total Pots,Coll
Forecast ,,,,,5400,1800,2200,2100,3300,3200,3100,1600,3000,1900,1100,700,400,300,30200,1006.666667,,,1650,1300,450,550,1450,900,700,600,850,900,300,400,200,100,10360,345.3333333,,,,,,,,,,,,,,12500,416.6666667,,,,,,,,,,,,,5467,182.2333333,,,,,,17878,595.9333333,,,,,,1431,238.5,,,,,8179,272.6333333,,,,,,9026,300.8666667,,,2670,2670,89,,,,,3583,119.4333333,,,,,5033,167.7666667,,,,0,0,,,,0,0
Sold,,,,,5223,1695,2015,2016,3030,2571,3428,1458,2906,1772,918,FS,FS,FS,27032,901.0666667,,,1364,1235,272,384,1207,734,558,451,696,706,144,346,48,FS,8145,271.5,,,2127,804,480,675,1727,1210,1059,366,994,315,0,9757,325.2333333,,,778,920,450,480,407,874,662,346,248,54,5219,173.9666667,,,8956,5305,2765,17026,567.5333333,,,928,275,133,1336,222.6666667,,,5573,2624,8197,273.2333333,,,4195,4088,1140,9423,314.1,,,2889,2889,96.3,,,3669,417,4086,136.2,,,4280,2860,7140,238,,,540,540,540,,,206,206,206
Balance,,,,,177,105,185,84,270,629,-328,142,94,128,182,700,500,300,3168,105.6,,,286,65,178,166,243,166,142,149,154,194,156,54,152,100,2215,73.83333333,,,-2127,-804,-480,-675,-1727,-1210,-1059,-366,-994,-315,0,-2743,-91.43333333,,,-778,-920,-450,-480,-407,-874,-662,-346,-248,-54,-248,-8.266666667,,,-8956,-5305,-2765,852,28.4,,,-928,-275,-133,95,15.83333333,,,-5573,-2624,-18,-0.6,,,-4195,-4088,-1140,397,13.23333333,,,-219,219,7.3,,,-3669,-417,503,16.76666667,,,-4280,-2860,2107,70.23333333,,,-540,-540,-540,,,-206,-206,-206
Homebase,,,,,720,300,500,300,240,720,240,270,300,,252,,,,3842,128.0666667,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,540,210,165,915,30.5,,,120,,15,135,22.5,,,912,,912,30.4,,,720,600,504,1824,60.8,,,405,405,13.5,,,195,225,420,14,,,,,0,0,,,,0,0,,,,0,0
Dobbies,,,,,1440,456,456,456,456,456,456,456,456,456,456,,,,6000,200,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,1525,1115,560,3200,106.6666667,,,,,,0,0,,,863,622,1485,49.5,,,908,922,,1830,61,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Blue Diamond,,,,,856,120,120,120,132,120,836,120,120,836,120,,,,3500,116.6666667,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,1700,880,540,3120,104,,,,,,0,0,,,210,30,240,8,,,,,,0,0,,,420,420,14,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
British GC ,,,,,,,,,,600,30,30,30,30,30,,,,750,25,,,,,,,,,,,,,,,,,0,0,,,,,,,,525,50,50,50,,,675,22.5,,,,,,,,,,,,,0,0,,,568,140,,708,23.6,,,228,60,,288,48,,,224,864,1088,36.26666667,,,,720,,720,24,,,156,156,5.2,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Hilliers,,,,,,435,,,315,,435,,,315,,,,,1500,50,,,352,,,,,,,,,,,,,,352,11.73333333,,,,435,,,315,,435,,,315,,1500,50,,,,352,,,,352,,,,,704,23.46666667,,,500,440,,940,31.33333333,,,126,,,126,21,,,448,,448,14.93333333,,,352,,,352,11.73333333,,,186,186,6.2,,,392,,392,13.06666667,,,520,,520,17.33333333,,,,0,0,,,,0,0
Haskins,,,,,135,,,,75,,,,,,,,,,210,7,,,,,,,,,,,,,,,,,0,0,,,75,,,,95,,,,,,,170,5.666666667,,,,40,,,,80,,,,,120,4,,,280,250,140,670,22.33333333,,,48,38,28,114,19,,,136,,136,4.533333333,,,80,32,,112,3.733333333,,,116,116,3.866666667,,,80,,80,2.666666667,,,150,170,320,10.66666667,,,,0,0,,,,0,0
Klondyke,,,,,296,60,60,60,60,60,60,60,60,60,60,,,,896,29.86666667,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,100,,10,10,10,60,10,60,10,10,280,9.333333333,,,400,,,400,13.33333333,,,,,,0,0,,,204,,204,6.8,,,,208,,208,6.933333333,,,76,76,2.533333333,,,,,0,0,,,330,,330,11,,,,0,0,,,,0,0
